Marca temporal,"¿Practicas regularmente algún tipo de ejercicio de concentración (meditación, yoga, mindfulness, etc.)?",Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Cuando estudio me concentro fácilmente],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Escucho música mientras estudio],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [La música me ayuda a concentrar],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Cambio de música según la actividad que realizo],Responde de acuerdo con la frecuencia con la que te ocurren las siguientes oraciones: [Considero que el tipo de música es adecuado para la actividad que realizo],"Si escuchas música mientras estudias, qué géneros prefieres (puedes seleccionar más de uno). Si no escuchas, marca ""ninguno"" al final:",¿Cuáles son tus géneros de música favoritos?,¿Tiene letra?,¿Qué tan energética es?,¿Qué tan predecible es? (repetitiva o estable),¿Cómo es su ritmo?,¿A qué volumen la escuchas?
03/06/2021 16:42,No,Casi siempre,A veces,A veces,Casi nunca,Siempre,"Clásica, Pop, Rock",Rock,4,3,3,3,3
03/06/2021 16:49,No,Siempre,Siempre,Siempre,Siempre,Siempre,"Clásica, Electrónica, Pop, Soul","Clásica, Electrónica, Pop, Rock",3,2,1,3,4
03/06/2021 16:50,No,A veces,A veces,Casi nunca,Siempre,Casi siempre,De ambientación,"Pop, Rap, Rock",2,3,4,3,3
03/06/2021 16:50,No,A veces,Casi siempre,Casi siempre,Casi nunca,A veces,"Clásica, Electrónica, Pop","Clásica, Electrónica, Pop",4,4,3,4,3
03/06/2021 16:51,No,Casi siempre,A veces,A veces,Casi nunca,A veces,"Clásica, Cumbia, Pop, Rock, Salsa","Cumbia, Pop, Rock, Salsa",5,4,5,5,2
03/06/2021 16:51,No,Casi siempre,Siempre,Siempre,Siempre,Siempre,"Electrónica, K-pop, Pop, Rock","K-pop, Rock",3,3,2,3,4
03/06/2021 16:51,No,A veces,A veces,Casi siempre,Siempre,Siempre,Soul,"Rap, Rock, Soul",5,4,2,4,3
03/06/2021 16:58,No,A veces,Casi nunca,A veces,Siempre,Siempre,"Clásica, Pop, Rock","Clásica, Electrónica, Pop, Rap, Rock",3,4,3,4,3
03/06/2021 16:58,No,A veces,Siempre,Siempre,Casi siempre,Siempre,"Cumbia, Electrónica, Jazz, K-pop, Pop, Norteña, Ranchera, Rap, Reguetón, Rock, Salsa, Soul","Pop, Rap, Rock, Soul",4,4,4,4,5
03/06/2021 17:02,No,A veces,Casi siempre,Siempre,Siempre,Siempre,"Clásica, Soul, Instrumental","Electrónica, Pop",1,2,5,2,2
03/06/2021 17:03,No,A veces,A veces,Casi siempre,Casi nunca,Casi siempre,"Pop, Rock, Bandas Sonoras","Pop, Rock",4,4,4,3,2
03/06/2021 17:08,No,Casi siempre,Casi siempre,Casi siempre,A veces,Casi siempre,"Pop, Rock, J-pop",Rock,4,4,3,3,2
03/06/2021 17:23,No,Casi siempre,Casi siempre,A veces,Casi siempre,Casi siempre,"Clásica, Jazz, Pop, Rock","Clásica, Jazz, Pop, Rock",2,3,2,3,2
03/06/2021 17:29,No,A veces,Casi siempre,A veces,Casi siempre,Casi siempre,"Clásica, Pop, Rock","Clásica, Pop, Rock",4,3,3,2,4
03/06/2021 18:07,No,Casi nunca,Casi siempre,Casi siempre,Siempre,Siempre,"Clásica, Cumbia, Jazz, Ranchera, Rock, Lo-Fi, Indie","Rock, Indie",3,3,5,3,3
04/06/2021 10:55,No,A veces,Nunca,A veces,Casi siempre,Siempre,Ninguno,"Clásica, Electrónica, Jazz, Pop, Rock",1,4,4,3,4
04/06/2021 13:15,No,A veces,Nunca,Nunca,Casi nunca,Casi nunca,Ninguno,"Electrónica, Pop, Reggaetón, Rock, Salsa",4,5,5,5,3
04/06/2021 13:16,Sí,A veces,Casi siempre,Casi siempre,Siempre,Siempre,"Clásica, Lo-Fi","Clásica, Pop, Rap, Reggaetón, Rock",2,4,2,3,4
04/06/2021 13:18,No,Casi siempre,Casi nunca,A veces,Casi siempre,A veces,"Clásica, Cumbia, Pop","Cumbia, Pop",5,4,4,5,4
04/06/2021 13:19,No,Casi nunca,Casi siempre,A veces,Casi siempre,A veces,"Clásica, Cumbia, Pop, Rap, Rock","Clásica, Cumbia, Jazz, Pop, Rap, Rock, Metal",4,4,2,3,3
04/06/2021 13:19,Sí,A veces,A veces,A veces,Casi siempre,Siempre,"Clásica, Electrónica, Pop, Rap, Reguetón, Rock, Salsa","Pop, Rock",5,5,4,4,4
04/06/2021 13:19,No,A veces,A veces,Casi siempre,Siempre,Casi siempre,"Clásica, Jazz, Soul","Pop, Rock, Salsa, Soul",2,2,3,2,3
04/06/2021 13:20,No,Casi nunca,Casi nunca,A veces,Casi siempre,Casi siempre,"Clásica, Jazz, Soul",Indie,2,1,1,1,2
04/06/2021 13:23,Sí,Nunca,Nunca,A veces,Casi siempre,Casi siempre,Pop,"Pop, Norteña, Ranchera, Rap, Reggaetón",4,4,4,3,3
04/06/2021 13:24,No,Casi nunca,A veces,A veces,Casi siempre,Siempre,"Clásica, Rock","Clásica, Rock",3,3,4,3,4
04/06/2021 13:27,No,A veces,Casi nunca,Casi nunca,Siempre,A veces,"Clásica, Soul","Pop, Rock, Soul",2,3,4,3,1
04/06/2021 13:36,No,A veces,Siempre,Siempre,Casi siempre,Casi siempre,"Clásica, Pop, Rock","Pop, Reggaetón, Rock",4,3,3,3,3
04/06/2021 13:38,No,Siempre,A veces,Casi nunca,Siempre,Siempre,"Pop, Reguetón, Rock","Pop, Rap, Reggaetón, Rock",5,5,5,5,3
04/06/2021 13:40,No,Casi nunca,A veces,A veces,Casi siempre,Casi siempre,"Jazz, Soul","Electrónica, Jazz, K-pop, Pop, Norteña, Rap, Reggaetón, Rock",2,1,3,2,3
04/06/2021 13:55,No,Casi siempre,Casi nunca,Casi nunca,Casi siempre,Casi siempre,Ninguno,"Electrónica, Pop, Reggaetón, Rock",4,4,4,4,3
04/06/2021 13:59,No,Casi nunca,Siempre,A veces,Siempre,Casi siempre,"Clásica, Jazz, K-pop, Pop, Lo-Fi, pop o versiones de mis canciones favoritas en piano o versión acústica ","Clásica, Country, K-pop, Pop, Reggaetón",5,4,3,3,5
04/06/2021 14:30,Sí,A veces,A veces,Casi nunca,Siempre,A veces,Clásica,Pop,2,3,4,2,2
04/06/2021 14:58,No,Casi siempre,Siempre,Siempre,Siempre,Siempre,"Clásica, Electrónica, Jazz","Clásica, Cumbia, Electrónica, Jazz, Pop, Norteña, Rock",1,1,5,3,3
04/06/2021 15:02,No,Casi nunca,Nunca,Nunca,Casi siempre,A veces,Ninguno,"Electrónica, Norteña, Ranchera, Reggaetón",5,4,4,5,4
04/06/2021 15:02,No,Casi nunca,A veces,A veces,Casi siempre,Casi siempre,"Clásica, K-pop, Pop, Rock, Folk, metal, punk","Pop, Rock, Punk, folk metal",3,3,4,3,3
04/06/2021 15:22,No,Casi nunca,Siempre,A veces,Siempre,Casi siempre,"Clásica, Jazz, K-pop, Pop, Lo-Fi, o versiones de mis canciones favoritas en piano o versión acústica ","Clásica, Country, K-pop, Pop, Reggaetón",5,4,3,3,5
04/06/2021 16:32,Sí,A veces,Casi siempre,A veces,Siempre,Siempre,"Clásica, Country, Cumbia, Electrónica, Jazz, Pop, Norteña, Ranchera, Rap, Reguetón, Rock","Cumbia, Pop, Norteña, Ranchera, Rap, Reggaetón, Rock",4,3,3,4,4
06/06/2021 21:32,No,Casi nunca,Casi siempre,A veces,A veces,A veces,"Country, Pop, Rap, Reguetón, Rock, OST","Pop, Rock",4,3,3,3,4
06/06/2021 21:36,Sí,A veces,A veces,A veces,Siempre,Casi nunca,"Rap, Rock, Música Otaku","Rap, Rock",5,3,3,3,3
